                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.64447,                 1.2361,                 1.2167,                0.93736,                0.90056,                0.91825,                0.96412,                0.85281,                0.90056,                0.91825,                0.96405,                0.73153,                0.50071,                0.97223,                0.95285,                0.85072,              8.888e-05,              8.888e-05,              8.888e-05
                      2,                0.62579,                 1.1094,                0.99839,                0.92685,                 0.9008,                0.93225,                0.96731,                0.84924,                 0.9008,                0.93225,                0.96731,                0.73764,                0.50169,                0.97639,                0.89484,                0.85086,             0.00017952,             0.00017952,             0.00017952
                      3,                0.58237,                 1.1076,                0.93543,                0.90763,                0.91036,                0.93572,                0.96963,                0.85464,                0.91036,                0.93572,                0.96832,                 0.7365,                0.48862,                0.98486,                0.89115,                0.84945,             0.00026026,             0.00026026,             0.00026026
                      4,                0.57441,                 1.0194,                0.89348,                0.91735,                0.93605,                0.92714,                0.97298,                0.85722,                0.93917,                0.93026,                0.97377,                0.74507,                0.49995,                0.96939,                0.83487,                0.84885,             0.00033111,             0.00033111,             0.00033111
                      5,                0.60845,                 1.0847,                0.87207,                 0.9192,                0.89723,                0.91573,                0.95812,                0.82752,                 0.9003,                0.91873,                 0.9591,                0.72498,                 0.5168,                 1.0084,                0.91699,                0.86337,             0.00039205,             0.00039205,             0.00039205
                      6,                0.58614,                 1.0568,                0.83683,                0.89715,                0.88701,                0.93501,                  0.961,                 0.8329,                 0.8809,                0.93333,                0.96019,                0.71719,                0.51855,                 1.0135,                0.94863,                0.85635,             0.00044309,             0.00044309,             0.00044309
                      7,                0.58656,                 1.0492,                0.83671,                0.91428,                0.91332,                0.91351,                0.96716,                0.83977,                0.90895,                0.90946,                0.95991,                0.72179,                0.53238,                 1.0243,                0.88136,                 0.8642,             0.00048424,             0.00048424,             0.00048424
                      8,                0.58878,                  1.054,                0.84248,                0.91173,                0.88481,                0.95235,                0.96178,                0.84241,                0.88337,                0.95084,                0.96152,                 0.7218,                0.52815,                 1.0482,                0.88463,                0.86879,             0.00051549,             0.00051549,             0.00051549
                      9,                0.57836,                 1.0201,                0.83911,                0.90109,                0.89182,                0.93684,                0.95739,                0.82809,                0.89192,                0.93618,                0.95598,                0.72856,                0.54952,                  1.019,                0.92436,                0.88562,             0.00053684,             0.00053684,             0.00053684
                     10,                0.60031,                  1.095,                0.85213,                0.91834,                0.89896,                0.93854,                0.96964,                0.84713,                0.89896,                0.93854,                0.96996,                0.74672,                0.53561,                0.99249,                0.87003,                0.87988,             0.00054828,             0.00054828,             0.00054828
                     11,                0.51261,                0.98943,                0.96513,                0.87816,                0.89727,                 0.8945,                0.95313,                0.84107,                0.89727,                 0.8945,                0.95371,                0.72563,                0.52607,                 1.0203,                0.99128,                 0.8595,             0.00054983,             0.00054983,             0.00054983
                     12,                 0.5321,                0.98688,                0.99973,                0.89002,                0.84984,                0.87479,                0.92952,                0.80671,                0.84933,                0.87295,                0.92665,                0.65912,                0.55363,                 1.1987,                 1.1334,                0.87022,             0.00050606,             0.00050606,             0.00050606
                     13,                0.54594,                 1.0279,                0.91377,                0.89566,                0.89377,                 0.9148,                0.95845,                0.83952,                0.88841,                0.90973,                0.94641,                0.68598,                0.51998,                 1.2257,                0.90874,                0.85853,             0.00050606,             0.00050606,             0.00050606
                     14,                 0.5695,                 1.0701,                0.90448,                0.89661,                0.92921,                0.89229,                0.95737,                0.83178,                0.91842,                0.88111,                0.93584,                0.65578,                0.52824,                 1.4797,                 0.8953,                0.85811,             0.00045107,             0.00045107,             0.00045107
                     15,                0.54054,                0.99975,                0.87089,                0.88358,                 0.9242,                 0.9344,                0.96498,                0.84098,                0.91897,                0.92967,                0.95896,                0.68403,                 0.5299,                 1.3936,                0.86196,                0.85808,             0.00039607,             0.00039607,             0.00039607
                     16,                0.52334,                 0.9864,                0.86323,                0.86924,                0.93399,                0.95007,                0.97669,                0.86705,                0.93899,                0.94853,                0.97446,                0.73941,                0.49884,                 1.1252,                0.80223,                0.84606,             0.00034108,             0.00034108,             0.00034108
                     17,                0.52005,                 1.0167,                0.88512,                 0.8752,                0.95229,                0.94773,                 0.9816,                0.87435,                0.95229,                0.94773,                0.97975,                0.74784,                0.48586,                 1.0234,                0.76908,                0.84248,             0.00028608,             0.00028608,             0.00028608
                     18,                0.52091,                0.98715,                0.83285,                0.87797,                0.94007,                0.96858,                0.98392,                 0.8815,                0.94007,                0.96858,                0.98392,                0.76971,                0.46677,                0.93125,                0.76028,                0.83447,             0.00023109,             0.00023109,             0.00023109
                     19,                0.50214,                0.93916,                0.80283,                0.88764,                0.94681,                0.95109,                0.98469,                0.87939,                0.94681,                0.95109,                0.98469,                0.77493,                0.46619,                0.87632,                0.76432,                0.83376,             0.00017609,             0.00017609,             0.00017609
                     20,                0.49608,                0.93898,                0.81544,                0.85589,                0.96398,                0.95864,                 0.9892,                0.88896,                0.96398,                0.95864,                 0.9892,                0.78519,                0.45627,                0.85322,                0.73518,                0.82652,              0.0001211,              0.0001211,              0.0001211
